,highly_variable,highly_variable_rank,means,variances,variances_norm
MECR,True,9484.0,0.03163931184496737,0.03242118265693752,0.9080192786500263
MATN1-AS1,True,5855.0,0.0253114494759739,0.026650872039370235,0.9429219271124946
LAPTM5,True,13011.0,3.6228000790982797,8.430928735465516,0.6928570326445359
PUM1,True,9856.0,0.1928020565552699,0.2133922663618382,0.9033628057419619
SNRNP40,True,12641.0,0.21435633774965396,0.21430588942536083,0.8101793625572655
ZCCHC17,True,10416.0,0.13970733636543406,0.14947033854599345,0.8962845899982816
SERINC2,True,3364.0,0.004053786830136444,0.00423551811924893,0.9825714817789484
PEF1,True,12563.0,0.19764682618153054,0.19834905512342083,0.8178847168666924
PTP4A2,True,1874.0,0.5450860193790785,0.8149847498430638,1.0562865945927693
KHDRBS1,True,12345.0,0.6501878584140794,0.8081048791722631,0.83591388211189
TMEM39B,True,10119.0,0.07316590864148705,0.073554556274626,0.9001703899337432
KPNA6,True,10178.0,0.09669764682618152,0.09981505996281817,0.8994304816114552
TXLNA,True,6374.0,0.05082064465097884,0.05397786894585088,0.9378152402283834
CCDC28B,True,3856.0,0.061696658097686374,0.06719087168466777,0.9718301164993388
IQCC,True,5611.0,0.003361676883527783,0.003350707306037778,0.945630752428949
TMEM234,True,10885.0,0.033320150286731264,0.03339969438874426,0.8874740217465849
EIF3I,True,12531.0,0.5872058532726914,0.6960925973908388,0.8211305994429811
FAM167B,True,1810.0,0.0032628040340122602,0.0036480102310765946,1.0622383912872253
LCK,True,12575.0,1.4621316986355546,2.4892708830788646,0.8165235827261821
HDAC1,True,12521.0,0.463515918528772,0.5192363664527752,0.821646610787663
MARCKSL1,True,843.0,0.37097093138224246,0.629696140161557,1.2988789174066346
FAM229A,True,3850.0,0.0065256080680245205,0.006879196071147074,0.9718767473876683
BSDC1,True,11994.0,0.1563179750840419,0.16116496404549638,0.8548765888307172
ZBTB8OS,True,11159.0,0.18864939687561796,0.2035060764126658,0.8814984184857576
RBBP4,True,11980.0,0.5218508997429306,0.625103426397384,0.8554275689967619
SYNC,True,8110.0,0.00978841210203678,0.009891322772856549,0.9218362819064106
YARS,True,9959.0,0.17263199525410322,0.18951691251719166,0.9020718891301348
S100PBP,True,9219.0,0.08888669171445521,0.09206870999196007,0.9108188902838006
RNF19B,True,4523.0,0.022641882539054775,0.024109068416746378,0.959495986869371
AK2,True,10490.0,0.22730868103618745,0.2519941997723532,0.8951726284413145
AZIN2,True,2879.0,0.014732054577812933,0.016098578450302173,0.9972866054348867
TRIM62,True,8836.0,0.01265572473798695,0.012694558215518405,0.9148465494177244
ZNF362,True,6881.0,0.05704963417045679,0.05993101563172557,0.9331276236389614
PHC2,True,3043.0,0.03252916749060708,0.03641826400628804,0.9914434667911167
ZSCAN20,True,6127.0,0.0037571682815898755,0.003743422090902761,0.9403139252737862
SMIM12,True,12051.0,0.20802847538066047,0.21836330345090935,0.8522729247014493
DLGAP3,True,6696.0,0.015127545975875024,0.015493472309472112,0.9347548868374943
AC114490.3,True,9761.0,0.009294047854459166,0.009208579007384636,0.9045991377557118
AC114490.2,True,4929.0,0.005734625271900337,0.005900068400497358,0.953233050933156
TMEM35B,True,11234.0,0.1257662645837453,0.1307253348610166,0.879837722637576
ZMYM6,True,9870.0,0.03144156614593632,0.03203812735742053,0.9031144010504359
ZMYM1,True,4675.0,0.04459165513150089,0.048342644471046414,0.9570820381810363
SFPQ,True,6343.0,0.5664425548744315,0.7596015626544363,0.9379730755919149
ZMYM4,True,4705.0,0.05764287126754993,0.06203838683387919,0.956670979171345
ZMYM4-AS1,True,9671.0,0.008898556456397073,0.008820244232070033,0.9056559086792467
KIAA0319L,True,9425.0,0.10411311053984576,0.10949954460610324,0.9086708207263738
NCDN,True,8285.0,0.04518489222859403,0.04710278891046475,0.9199729055468618
AC004865.2,True,4918.0,0.054083448684991105,0.05828303703839678,0.9533664835516283
PSMB2,True,11365.0,0.35455803836266564,0.403100452331791,0.8762230733647945
C1orf216,True,9422.0,0.02669566936919122,0.02717217139032117,0.9087528810248713
CLSPN,True,809.0,0.005141388174807198,0.007290877861654313,1.3198203551021246
AGO4,True,4742.0,0.04389954518489223,0.0475139525301997,0.9559830696576251
AGO1,True,3024.0,0.04221870674312834,0.047362069832956384,0.9920836451076274
AGO3,True,8330.0,0.1297211785643662,0.14138295399224246,0.9195529915806718
ADPRHL2,True,6901.0,0.06772790191813328,0.07046439109918654,0.9329083050403365
TRAPPC3,True,12462.0,0.2621119240656516,0.27194119344427053,0.828173762746581
MAP7D1,True,10224.0,0.24639114099268342,0.2760796278696948,0.8989449642557418
THRAP3,True,12779.0,0.6142970140399446,0.7072453922446231,0.7874380245655029
SH3D21,True,2193.0,0.005240261024322721,0.0058066119020776085,1.0304894750573803
EVA1B,True,3817.0,0.010282776349614395,0.010969108203267094,0.9724250140082423
STK40,True,2537.0,0.06466284358315207,0.07294675173505558,1.0107896127235272
LSM10,True,11914.0,0.35040537868301364,0.38941593374344474,0.8580223923772431
MRPS15,True,11958.0,0.2804034012260233,0.30245979967595954,0.8562291326882772
CSF3R,True,344.0,0.16254696460351986,0.4270515959845525,2.1705130969394557
LINC01137,True,8840.0,0.02837650781095511,0.02915612995730802,0.9148117224195872
ZC3H12A,True,5193.0,0.059323709709313825,0.0633250048624951,0.9500560923908633
MEAF6,True,12887.0,0.3985564563970734,0.4020981829588951,0.7622801437041331
